l,time
431,5.75754
27,4.9937
341,5.2622
246,5.00948
168,5.63919
445,5.46867
53,4.99961
492,5.30603
34,5.07685
414,5.43037
368,5.68567
52,5.12012
103,5.05652
193,5.96079
445,5.21264
373,5.23881
361,5.41395
22,5.02823
